id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName,style,occasion
21174,Women,Apparel,Topwear,Tops,Beige,Fall,Casual,s.Oliver Women Stripes Beige Top,Casual,College
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,Sports,Nike Women Solid Pink Shorts,Casual,Casual
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Classic Polo Men Stripes Blue Tshirts,Casual,Casual
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,Casual,Casual
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,Casual,Doodle Kids Girls Pink I love Shopping Top,Casual,College
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,Lotto Men Atlantica Black Sports Shoe,Sporty,Sports
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,Little Miss Women Printed Grey T-shirt,Casual,Casual
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women Black Jegging,Casual,Travel
12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Men Sports Black Sports Shoes,Sporty,Sports
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,Ethnic,Mother Earth Women Magenta Kurta,Ethnic,Festival
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,Casual,Casual
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Sports,ADIDAS Men Solid Navy Blue Track Pant,Sporty,Sports
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,Casual,Gini and Jony Girls Black Capris,Casual,Casual
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,Sporty,Sports
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,Casual,Gini and Jony Kids Boys Solid Black Shorts,Casual,Casual
54543,Men,Footwear,Shoes,Sports Shoes,White,Fall,Casual,F Sports Men White Outlander Sports Shoes,Sporty,Sports
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,John Miller Men Dark Grey Trousers,Formal,Office
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,Tantra Women Flower Heart Black Long T-shirt,Casual,Casual
42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,Ethnic,Aurelia Women Sea Green Kurta,Ethnic,Festival
32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,FILA Men Liga II Black Shoes,Casual,Casual
10401,Women,Apparel,Topwear,Tops,Purple,Fall,Casual,Jealous 21 Women Uaine Purple Tops,Casual,College
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,Casual,Travel
45603,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes,Formal,Office
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,Puma Men's YugoRun Black White Shoe,Sporty,Sports
37223,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,United Colors of Benetton Women Blue Top,Casual,College
53766,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,Puma Men White and Navy Blue T-shirt,Casual,Casual
25520,Girls,Apparel,Topwear,Tops,White,Fall,Casual,Doodle Kids Girls City Chic White Top,Casual,College
32597,Women,Apparel,Topwear,Tops,Black,Summer,Casual,ONLY Women Black Top,Casual,College
57100,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,Elle Women Dark Pink Top,Casual,College
36137,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,Sports,Nike Women Free Run Pink Sports Shoes,Sporty,Sports
41859,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Estd. 1977 Men Black Sandals,Casual,Casual
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,Casual,GAS Men Brown Count Casual Shoes,Casual,Casual
50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,Ethnic,Aurelia Women Navy Blue Kurta,Ethnic,Festival
8913,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,Sporty,Sports
16530,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Locomotive Men Check Red Shirt,Formal,Office
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Nike Men White Capri II Casual Shoe,Casual,Casual
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,Scullers Men Scul Purple White Shirt,Formal,Office
27277,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Mother Earth Women Blue Kurta,Ethnic,Festival
13042,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Inc 5 Women Brown Heels,Casual,Casual
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,Casual,Forever New Women Stone Cream Jacket,Unknown,General
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,Ethnic,W Women Peach Kurta,Ethnic,Festival
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Basics Men Blue Slim Fit Checked Shirt,Formal,Office
55657,Women,Footwear,Shoes,Heels,Gold,Winter,Casual,Catwalk Women Golden Wedges,Party,Party
19578,Women,Apparel,Topwear,Tops,Purple,Summer,Casual,United Colors of Benetton Women Solid Purple Top,Casual,College
27879,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Scullers For Her Women Blue Top,Casual,College
34452,Women,Footwear,Shoes,Flats,Copper,Winter,Casual,Rocia Women Copper Sandals,Casual,Casual
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,Classic Polo Men's Swiss Yellow T-shirt,Casual,Casual
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Tantra Men's Black Sabbath Navy T-shirt,Casual,Casual
22537,Men,Footwear,Sandal,Sandals,Tan,Summer,Casual,Gas Men Eldorado Tan Casual  Sandals,Casual,Casual
43500,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,French Connection Men White T-shirt,Casual,Casual
2627,Women,Footwear,Shoes,Flats,Silver,Fall,Casual,Carlton London Women Wedge Silver Sandal,Casual,Casual
13270,Women,Apparel,Topwear,Tops,White,Fall,Casual,Palm Tree Kids Girls Printed White Tops,Casual,College
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,Palm Tree Girls Pink Top,Casual,College
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,Casual,United Colors of Benetton Men Olive Tshirts,Casual,Casual
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,Casual,Tokyo Talkies Women Yellow Top,Casual,College
15187,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Arrow Sport Men Solid White Polo Tshirts,Casual,Casual
5402,Women,Footwear,Shoes,Sports Shoes,Purple,,Sports,Kalenji Ekiden 200 Wn Purple 2011,Sporty,Sports
14055,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Flying Machine Men Check Green Shirts,Formal,Office
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Applique Navy Blue Tshirt,Casual,Casual
22153,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual,Lee Cooper Men Brown Casual Sandals,Casual,Casual
43958,Men,Footwear,Sandal,Sandals,Olive,Fall,Casual,Puma Men Olive Techno Ind Sandal,Casual,Casual
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Urban Yoga Women Printed Pink T-shirt,Casual,Casual
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,Casual,Palm Tree Boys Check Blue Shirt,Formal,Office
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,Formal,Office
2243,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,Casual,Casual
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,Casual,Sepia Women Printed Magenta Top,Casual,College
39729,Women,Apparel,Topwear,Tops,Olive,Summer,Casual,Arrow Woman Olive Top,Casual,College
11143,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,Scullers Men Price Catch Black Shirts,Formal,Office
56684,Women,Apparel,Saree,Sarees,Beige,Fall,Ethnic,Fabindia Beige & Maroon Mull Printed Saree,Ethnic,Wedding
4988,Women,Apparel,Dress,Dresses,White,Summer,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,Party,Party
44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,Indian Terrain Men Blue T-shirt,Casual,Casual
14431,Women,Footwear,Shoes,Heels,Black,Summer,Casual,Enroute Women Casual Black Flats,Party,Party
33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,Ethnic,Mother Earth Women Printed Cream Kurta,Ethnic,Festival
11371,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors Of Benetton Men Summer Black Shirts,Formal,Office
41401,Women,Apparel,Topwear,Tops,White,Summer,Casual,Wrangler Women White Smocked Top,Casual,College
4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Wrangler Cowboy Photo T-shirt,Casual,Casual
16154,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Enroute Men Leather Black Formal Shoes,Formal,Office
29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Basics Men Pack of 3 T-shirt,Casual,Casual
7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,Sports,Nike Men's As Icon Blue T-shirt,Casual,Casual
34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Casual,Proline Men Navy Track Pants,Sporty,Sports
50741,Men,Footwear,Shoes,Casual Shoes,Black,Winter,Casual,Red Chief Men Black Shoes,Casual,Casual
13426,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts,Casual,Casual
43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Summer,Sports,Reebok Women Charcoal Grey Fuel Techno Sports Shoes,Sporty,Sports
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,John Miller Men Stripes Blue Shirts,Formal,Office
12994,Boys,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes,Sporty,Sports
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,Locomotive Men Washed Blue Jeans,Casual,Travel
19540,Men,Apparel,Topwear,Sweaters,Blue,Summer,Casual,United Colors of Benetton Men Solid Blue Sweater,Casual,Winter
7963,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,Puma Men's Large Logo Graphic White French T-shirt,Casual,Casual
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,Casual,Elle Women Brown Trousers,Formal,Office
20856,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,United Colors of Benetton Men Casual Black Shoes,Casual,Casual
41861,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Estd. 1977 Men Black Sandals,Casual,Casual
5608,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,ADIDAS Men Kendall Black Navy Floater,Casual,Casual
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,Casual,Turtle Solid Men  Burgundy Shirt,Formal,Office
20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,Wrangler Men Polo Charcoal T-shirt,Casual,Casual
47198,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual,Franco Leone Men Brown Sandals,Casual,Casual
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Jealous 21 Women Washed Blue Jeans,Casual,Travel
13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Casual,Palm Tree Kids Boy Solid Brown Trousers,Formal,Office
43538,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,French Connection Women Blue Top,Casual,College
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear,Casual,Casual
31118,Girls,Apparel,Topwear,Tops,Red,Summer,Casual,Gini and Jony Girls Red Top,Casual,College
19772,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,Casual,ADIDAS Men Vigor Blue Casual Shoes,Casual,Casual
5862,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Stripe Black T-shirt,Casual,Casual
14409,Women,Footwear,Shoes,Heels,White,Summer,Casual,Enroute Women Casual White Heels,Party,Party
58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt,Casual,Casual
11947,Men,Footwear,Sandal,Sandals,Olive,Summer,Casual,Ganuchi Men Casual Olive Sandals,Casual,Casual
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Denizen Women Blue Jeans,Casual,Travel
29583,Women,Footwear,Shoes,Flats,Silver,Summer,Casual,Puma Women Grace Silver Sandals,Casual,Casual
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women's Aaren Black Jegging,Casual,Travel
28451,Women,Apparel,Bottomwear,Track Pants,Black,Summer,Casual,Urban Yoga Women Black Track Pants,Sporty,Sports
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,Formal,Indigo Nation Men Grey Striped Shirt,Formal,Office
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts,Formal,Office
34832,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men Sukoi White Sports Shoes,Sporty,Sports
23885,Men,Footwear,Shoes,Sports Shoes,Grey,Winter,Sports,Fila Men Grey Hex Sports Shoes,Sporty,Sports
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,John Players Men Check Blue Shirt,Formal,Office
49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,Casual,Mineral Women Grey Skirt,Party,Party
2049,Men,Apparel,Topwear,Tshirts,White,Summer,Sports,ADIDAS Men's Slim Fit White T-shirt,Casual,Casual
33019,Women,Apparel,Topwear,Kurtas,Yellow,Summer,Ethnic,Mother Earth Women Printed Yellow Kurta,Ethnic,Festival
41439,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,Lee Cooper Men Black Sports Shoes,Sporty,Sports
